location,skill1,skill2,postings
Toronto_ON,spark,mysql,5
Toronto_ON,spark,vba,4
Toronto_ON,spark,git,8
Toronto_ON,spark,oozie,1
Toronto_ON,spark,hadoop,24
Toronto_ON,spark,scala,20
Toronto_ON,spark,salesforce,1
Toronto_ON,spark,drupal,2
Toronto_ON,spark,excel,4
Toronto_ON,spark,node.js,10
Toronto_ON,spark,jquery,6
Toronto_ON,spark,.net,3
Toronto_ON,spark,html,9
Toronto_ON,spark,python,17
Toronto_ON,spark,android,1
Toronto_ON,spark,sql,21
Toronto_ON,spark,perl,1
Toronto_ON,spark,angularjs,7
Toronto_ON,spark,mongodb,1
Toronto_ON,spark,json,7
Toronto_ON,spark,pig,6
Toronto_ON,spark,c,7
Toronto_ON,spark,tableau,1
Toronto_ON,spark,ios,2
Toronto_ON,spark,aws,9
Toronto_ON,spark,javascript,7
Toronto_ON,spark,hive,18
Toronto_ON,spark,linux,10
Toronto_ON,spark,react,6
Toronto_ON,spark,java,38
Toronto_ON,spark,mapreduce,7
Toronto_ON,spark,elasticsearch,1
Toronto_ON,spark,sas,1
Toronto_ON,spark,azure,4
Toronto_ON,spark,css,4
Toronto_ON,spark,cassandra,5
Toronto_ON,spark,cloud,13
Toronto_ON,spark,r,2
Toronto_ON,spark,bash,1
Toronto_ON,spark,flume,3
Toronto_ON,spark,c++,3
Toronto_ON,mysql,vba,4
Toronto_ON,mysql,postgresql,6
Toronto_ON,mysql,git,13
Toronto_ON,mysql,linux,23
Toronto_ON,mysql,django,4
Toronto_ON,mysql,swift,7
Toronto_ON,mysql,jquery,24
Toronto_ON,mysql,html,24
Toronto_ON,mysql,sql,25
Toronto_ON,mysql,perl,5
Toronto_ON,mysql,angularjs,6
Toronto_ON,mysql,mongodb,4
Toronto_ON,mysql,json,8
Toronto_ON,mysql,matlab,1
Toronto_ON,mysql,php,17
Toronto_ON,mysql,.net,20
Toronto_ON,mysql,mapreduce,1
Toronto_ON,mysql,css,17
Toronto_ON,mysql,cassandra,4
Toronto_ON,mysql,redis,1
Toronto_ON,mysql,hadoop,5
Toronto_ON,mysql,scala,5
Toronto_ON,mysql,rails,7
Toronto_ON,mysql,node.js,16
Toronto_ON,mysql,asp.net,3
Toronto_ON,mysql,python,28
Toronto_ON,mysql,android,19
Toronto_ON,mysql,wordpress,3
Toronto_ON,mysql,pig,5
Toronto_ON,mysql,c,15
Toronto_ON,mysql,ruby,10
Toronto_ON,mysql,ios,15
Toronto_ON,mysql,abap,1
Toronto_ON,mysql,aws,17
Toronto_ON,mysql,javascript,28
Toronto_ON,mysql,react,6
Toronto_ON,mysql,java,45
Toronto_ON,mysql,bash,5
Toronto_ON,mysql,sas,4
Toronto_ON,mysql,lamp,2
Toronto_ON,mysql,azure,7
Toronto_ON,mysql,cloud,16
Toronto_ON,mysql,r,1
Toronto_ON,mysql,hive,5
Toronto_ON,mysql,powershell,1
Toronto_ON,mysql,c++,5
Toronto_ON,vba,matlab,1
Toronto_ON,vba,ios,1
Toronto_ON,vba,aws,4
Toronto_ON,vba,cassandra,4
Toronto_ON,vba,.net,1
Toronto_ON,vba,linux,4
Toronto_ON,vba,react,4
Toronto_ON,vba,java,5
Toronto_ON,vba,node.js,4
Toronto_ON,vba,jquery,4
Toronto_ON,vba,azure,4
Toronto_ON,vba,html,4
